집계일자,집계시,출발영업소코드,도착영업소코드,통행시간,요일
20200501,5,101,105,615,4
20200501,5,101,105,742,4
20200501,5,101,105,745,4
20200501,5,101,105,803,4
20200501,5,101,105,790,4
20200501,5,101,105,688,4
20200501,6,101,105,641,4
20200501,6,101,105,755,4
20200501,6,101,105,733,4
20200501,6,101,105,800,4
20200501,6,101,105,702,4
20200501,19,101,105,1266,4
20200501,19,101,105,1005,4
20200501,19,101,105,894,4
20200501,19,101,105,940,4
20200501,19,101,105,945,4
20200501,19,101,105,1271,4
20200501,12,101,105,929,4
20200501,12,101,105,1349,4
20200501,12,101,105,1342,4
20200501,12,101,105,1373,4
20200501,12,101,105,1110,4
20200501,8,101,105,726,4
20200501,8,101,105,753,4
20200501,8,101,105,728,4
20200501,8,101,105,791,4
20200501,8,101,105,762,4
20200501,10,101,105,955,4
20200501,10,101,105,865,4
20200501,10,101,105,743,4
20200501,10,101,105,789,4
20200501,10,101,105,1013,4
20200501,20,101,105,897,4
20200501,20,101,105,1110,4
20200501,20,101,105,836,4
20200501,20,101,105,1128,4
20200501,16,101,105,1473,4
20200501,16,101,105,971,4
20200501,16,101,105,1055,4
20200501,16,101,105,1515,4
20200501,21,101,105,986,4
20200501,21,101,105,886,4
20200501,21,101,105,797,4
20200501,21,101,105,876,4
20200501,21,101,105,894,4
20200501,21,101,105,990,4
20200501,17,101,105,1015,4
20200501,17,101,105,1502,4
20200501,17,101,105,970,4
20200501,17,101,105,1506,4
20200501,11,101,105,1182,4
20200501,11,101,105,1076,4
20200501,11,101,105,814,4
20200501,11,101,105,870,4
20200501,11,101,105,1344,4
20200501,11,101,105,1241,4
20200501,15,101,105,1406,4
20200501,15,101,105,1350,4
20200501,15,101,105,984,4
20200501,15,101,105,1078,4
20200501,15,101,105,1406,4
20200501,14,101,105,945,4
20200501,14,101,105,1315,4
20200501,14,101,105,1277,4
20200501,14,101,105,1333,4
20200501,14,101,105,1080,4
20200501,22,101,105,770,4
20200501,22,101,105,908,4
20200501,22,101,105,888,4
20200501,22,101,105,847,4
20200501,9,101,105,855,4
20200501,9,101,105,809,4
20200501,9,101,105,726,4
20200501,9,101,105,793,4
20200501,9,101,105,1111,4
20200501,9,101,105,888,4
20200501,18,101,105,1451,4
20200501,18,101,105,956,4
20200501,18,101,105,980,4
20200501,18,101,105,1008,4
20200501,18,101,105,1464,4
20200501,2,101,105,620,4
20200501,2,101,105,718,4
20200501,2,101,105,849,4
20200501,2,101,105,645,4
20200501,3,101,105,615,4
20200501,3,101,105,733,4
20200501,3,101,105,799,4
20200501,3,101,105,786,4
20200501,3,101,105,612,4
20200501,4,101,105,610,4
20200501,4,101,105,728,4
20200501,4,101,105,802,4
20200501,4,101,105,785,4
20200501,4,101,105,654,4
20200501,23,101,105,809,4
20200501,23,101,105,748,4
20200501,23,101,105,819,4
20200501,23,101,105,843,4
20200501,23,101,105,849,4
20200501,13,101,105,943,4
20200501,13,101,105,1286,4
20200501,13,101,105,1272,4
20200501,13,101,105,1325,4
20200501,13,101,105,1099,4
20200501,0,101,105,632,4
20200501,0,101,105,673,4
20200501,0,101,105,835,4
20200501,0,101,105,698,4
20200501,1,101,105,627,4
20200501,1,101,105,704,4
20200501,1,101,105,719,4
20200501,1,101,105,676,4
20200501,7,101,105,709,4
20200501,7,101,105,754,4
20200501,7,101,105,729,4
20200501,7,101,105,796,4
20200501,7,101,105,762,4
20200501,0,101,110,2730,4
20200501,0,101,110,2402,4
20200501,1,101,110,2769,4
20200501,1,101,110,3200,4
20200501,7,101,110,2840,4
20200501,7,101,110,3624,4
20200501,7,101,110,3933,4
20200501,13,101,110,4737,4
20200501,13,101,110,4650,4
20200501,23,101,110,3511,4
20200501,23,101,110,3416,4
20200501,2,101,110,3068,4
20200501,3,101,110,2833,4
20200501,4,101,110,2656,4
20200501,23,101,110,3534,4
20200501,2,101,110,2783,4
20200501,23,101,110,3476,4
20200501,2,101,110,2930,4
20200501,2,101,110,3682,4
20200501,18,101,110,4173,4
20200501,18,101,110,4277,4
20200501,9,101,110,3909,4
20200501,9,101,110,3379,4
20200501,22,101,110,3680,4
20200501,22,101,110,3409,4
20200501,22,101,110,3505,4
20200501,14,101,110,4354,4
20200501,14,101,110,4665,4
20200501,14,101,110,4934,4
20200501,14,101,110,4207,4
20200501,15,101,110,4281,4
20200501,15,101,110,4559,4
20200501,11,101,110,4403,4
20200501,11,101,110,4164,4
20200501,11,101,110,4150,4
20200501,11,101,110,3953,4
20200501,15,101,110,4820,4
20200501,17,101,110,4167,4
20200501,17,101,110,4139,4
20200501,17,101,110,4448,4
20200501,17,101,110,4061,4
20200501,21,101,110,3716,4
20200501,21,101,110,3645,4
20200501,21,101,110,3859,4
20200501,21,101,110,3789,4
20200501,16,101,110,4774,4
20200501,16,101,110,4351,4
20200501,16,101,110,4603,4
20200501,20,101,110,3909,4
20200501,20,101,110,3889,4
20200501,20,101,110,3603,4
20200501,20,101,110,3726,4
20200501,8,101,110,3421,4
20200501,10,101,110,4247,4
20200501,10,101,110,3747,4
20200501,8,101,110,3933,4
20200501,10,101,110,3732,4
20200501,8,101,110,3468,4
20200501,8,101,110,3184,4
20200501,8,101,110,3553,4
20200501,12,101,110,4486,4
20200501,12,101,110,4569,4
20200501,5,101,110,2634,4
20200501,6,101,110,2646,4
20200501,6,101,110,3279,4
20200501,6,101,110,3695,4
20200501,6,101,110,3569,4
20200501,19,101,110,3942,4
20200501,19,101,110,3755,4
20200501,19,101,110,3899,4
20200501,19,101,110,3985,4
20200501,19,101,110,3814,4
20200501,5,101,115,4657,4
20200501,5,101,115,4909,4
20200501,6,101,115,4791,4
20200501,6,101,115,5852,4
20200501,6,101,115,4847,4
20200501,19,101,115,7071,4
20200501,19,101,115,5472,4
20200501,19,101,115,7358,4
20200501,12,101,115,7046,4
20200501,12,101,115,5477,4
20200501,10,101,115,6458,4
20200501,10,101,115,5087,4
20200501,8,101,115,6158,4
20200501,8,101,115,5264,4
20200501,8,101,115,4920,4
20200501,10,101,115,5998,4
20200501,20,101,115,6786,4
20200501,20,101,115,6589,4
20200501,20,101,115,5307,4
20200501,21,101,115,6614,4
20200501,16,101,115,8130,4
20200501,21,101,115,6386,4
20200501,21,101,115,5232,4
20200501,16,101,115,8163,4
20200501,16,101,115,5965,4
20200501,17,101,115,8202,4
20200501,17,101,115,8023,4
20200501,17,101,115,5950,4
20200501,15,101,115,8083,4
20200501,15,101,115,5790,4
20200501,11,101,115,5267,4
20200501,15,101,115,8164,4
20200501,11,101,115,6555,4
20200501,14,101,115,7357,4
20200501,14,101,115,7936,4
20200501,14,101,115,5662,4
20200501,22,101,115,6455,4
20200501,22,101,115,5978,4
20200501,22,101,115,5087,4
20200501,18,101,115,8016,4
20200501,18,101,115,7611,4
20200501,18,101,115,5748,4
20200501,9,101,115,4938,4
20200501,9,101,115,5605,4
20200501,23,101,115,4995,4
20200501,23,101,115,6295,4
20200501,23,101,115,5686,4
20200501,4,101,115,4608,4
20200501,2,101,115,4895,4
20200501,3,101,115,4636,4
20200501,13,101,115,7436,4
20200501,13,101,115,7554,4
20200501,13,101,115,5550,4
20200501,0,101,115,4813,4
20200501,0,101,115,4515,4
20200501,1,101,115,4862,4
20200501,1,101,115,4772,4
20200501,1,101,115,4618,4
20200501,7,101,115,4857,4
20200501,7,101,115,5746,4
20200501,7,101,115,4891,4
20200501,7,101,115,4928,4
20200501,7,101,120,6816,4
20200501,1,101,120,5872,4
20200501,13,101,120,10114,4
20200501,2,101,120,6249,4
20200501,3,101,120,8252,4
20200501,23,101,120,7679,4
20200501,9,101,120,7862,4
20200501,18,101,120,10045,4
20200501,22,101,120,7966,4
20200501,14,101,120,10098,4
20200501,11,101,120,8958,4
20200501,15,101,120,10502,4
20200501,17,101,120,10400,4
20200501,16,101,120,10479,4
20200501,21,101,120,8096,4
20200501,20,101,120,8445,4
20200501,8,101,120,7265,4
20200501,10,101,120,8271,4
20200501,19,101,120,9054,4
20200501,6,101,120,6686,4
20200501,12,101,120,9495,4
20200501,12,101,125,9585,4
20200501,19,101,125,11356,4
20200501,20,101,125,10484,4
20200501,10,101,125,9411,4
20200501,8,101,125,8622,4
20200501,16,101,125,11670,4
20200501,21,101,125,10662,4
20200501,17,101,125,12553,4
20200501,17,101,125,11932,4
20200501,15,101,125,11407,4
20200501,14,101,125,10966,4
20200501,9,101,125,9040,4
20200501,18,101,125,12359,4
20200501,13,101,125,9584,4
20200501,7,101,125,7492,4
20200501,1,101,130,7738,4
20200501,0,101,130,8474,4
20200501,2,101,130,7809,4
20200501,23,101,130,9572,4
20200501,22,101,130,10212,4
20200501,18,101,130,11074,4
20200501,9,101,130,8381,4
20200501,14,101,130,10543,4
20200501,15,101,130,11300,4
20200501,16,101,130,11593,4
20200501,21,101,130,10579,4
20200501,8,101,130,7714,4
20200501,10,101,130,8950,4
20200501,20,101,130,10889,4
20200501,19,101,130,10946,4
20200501,12,101,130,9455,4
20200501,19,101,135,16917,4
20200501,12,101,135,13721,4
20200501,20,101,135,16517,4
20200501,10,101,135,12532,4
20200501,14,101,135,15003,4
20200501,15,101,135,15942,4
20200501,11,101,135,12918,4
20200501,21,101,135,15846,4
20200501,16,101,135,16398,4
20200501,17,101,135,18690,4
20200501,17,101,135,16913,4
20200501,22,101,135,15283,4
20200501,18,101,135,16660,4
20200501,1,101,135,12553,4
20200501,1,101,135,12536,4
20200501,9,101,135,12028,4
20200501,13,101,135,16747,4
20200501,13,101,135,14229,4
